Species,Owner,Country.of.Origin,Altitude,Region,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,Expiration,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,essencecoffee,Ethiopia,1700-2000m,gedio,2014,"March 25th, 2015",Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,Green,"March 24th, 2016",1700.0,2000.0,1850.0
Arabica,cqi q coffee sample representative,United States,meters above sea level: 2.019,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,Green,"March 12th, 2016",2019.0,2019.0,2019.0
Arabica,the coffee source inc.,Costa Rica,1300 msnm,san ramon,2014,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,Green,"April 2nd, 2015",1300.0,1300.0,1300.0
Arabica,roberto licona franco,Mexico,1320,xalapa,2012,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,Green,"July 26th, 2013",1320.0,1320.0,1320.0
Arabica,cqi q coffee sample representative,United States,meters above sea level: 2.112,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,Green,"March 12th, 2016",2112.0,2112.0,2112.0
Arabica,ji-ae ahn,Ethiopia,1100,sidamo,2013,"September 3rd, 2013",Caturra,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,Bluish-Green,"September 3rd, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,nucoffee,Brazil,1250m,south of minas,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,Green,"December 2nd, 2012",1250.0,1250.0,1250.0
Arabica,ethiopia commodity exchange,Ethiopia,1100,sidamo,2009/2010,"June 16th, 2010",Caturra,Washed / Wet,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,Green,"June 16th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kabum trading company,Uganda,1950,kapchorwa eastern,2013,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,Green,"June 26th, 2015",1950.0,1950.0,1950.0
Arabica,bismarck castro,Honduras,1400,comayagua,2016,"May 18th, 2017",Caturra,Washed / Wet,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,Green,"May 18th, 2018",1400.0,1400.0,1400.0
Arabica,"lin, che-hao krude æž—å“²è±ª",Taiwan,1200,"leye, alishan township, chiayi county",2015,"May 18th, 2016",Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,Green,"May 18th, 2017",1200.0,1200.0,1200.0
Arabica,nora zeas,Nicaragua,1100,huila,2012,"May 18th, 2010",Caturra,Washed / Wet,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,Green,"May 18th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",1100,huila,2012,"September 3rd, 2013",Caturra,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,Bluish-Green,"September 3rd, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,nucoffee,Brazil,1300,vale da grama,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,Green,"December 2nd, 2012",1300.0,1300.0,1300.0
Arabica,francisco a mena,Costa Rica,1300,west and central valley,2015/2016,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,Blue-Green,"December 2nd, 2016",1300.0,1300.0,1300.0
Arabica,hider abamecha,Ethiopia,1750-1800,oromia,2014,"March 27th, 2015",Caturra,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,Green,"March 26th, 2016",1750.0,1800.0,1775.0
Arabica,daniel magu,Kenya,1800,muranga,2013,"May 30th, 2014",SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,Blue-Green,"May 30th, 2015",1800.0,1800.0,1800.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,Green,"April 6th, 2013",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2010,"January 28th, 2011",Caturra,Washed / Wet,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,Green,"January 28th, 2012",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ethiopia commodity exchange,Ethiopia,1100,yirgacheffe,2009/2010,"June 17th, 2010",Caturra,Washed / Wet,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,Green,"June 17th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,cqi q coffee sample representative,United States,meters above sea level: 1.941,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,Green,"March 12th, 2016",1941.0,1941.0,1941.0
Arabica,itdp international,Thailand,1300,chiang rai,2012,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,Green,"April 12th, 2013",1300.0,1300.0,1300.0
Arabica,jacques pereira carneiro,Brazil,1.2,sul de minas - carmo de minas,2010,"January 4th, 2011",Yellow Bourbon,Washed / Wet,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,Green,"January 4th, 2012",12.0,12.0,12.0
Arabica,jacques pereira carneiro,Brazil,1.2,sul de minas - carmo de minas,2010,"January 4th, 2011",Yellow Bourbon,Washed / Wet,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,Green,"January 4th, 2012",12.0,12.0,12.0
Arabica,"lin, che-hao krude æž—å“²è±ª",Taiwan,1000 m,natou county,2015,"June 10th, 2015",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,Green,"June 9th, 2016",1000.0,1000.0,1000.0
Arabica,jungle estate,Kenya,1754,nyeri,2014,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,Bluish-Green,"January 29th, 2016",1754.0,1754.0,1754.0
Arabica,nucoffee,Brazil,1250m,south of minas,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,Blue-Green,"December 2nd, 2012",1250.0,1250.0,1250.0
Arabica,great lakes coffee uganda,Uganda,1100,eastern uganda,2014,"October 1st, 2014",Caturra,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,Green,"October 1st, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,lusso lab,Colombia,900-1500m,tolima,2013,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,Green,"March 20th, 2015",900.0,1500.0,1200.0
Arabica,lusso lab,Kenya,1520m-2200m,kiambu,2013,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,Green,"February 6th, 2015",1520.0,2200.0,1860.0
Arabica,afca,Uganda,1400-1900m,"sipi, mt elgon",2012,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,Blue-Green,"February 12th, 2013",1400.0,1900.0,1650.0
Arabica,ethiopia commodity exchange,Ethiopia,1500-2000 m,sidamo,2009/2010,"June 17th, 2010",Caturra,Washed / Wet,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,Green,"June 17th, 2011",1500.0,2000.0,1750.0
Arabica,grounds for health admin,United States (Hawaii),1400ft,kona,Fall 2009,"May 31st, 2010",Caturra,Washed / Wet,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,Green,"May 31st, 2011",426.72,426.72,426.72
Arabica,juan luis alvarado romero,Guatemala,1100,nuevo oriente,2016,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,Green,"May 16th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kawacom uganda ltd,Uganda,1400-1900,eastern,2013,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,Green,"June 30th, 2015",1400.0,1900.0,1650.0
Arabica,exportadora de cafe condor s.a,Colombia,1800 msnm,huila,2013,"July 26th, 2013",Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,Blue-Green,"July 26th, 2014",1800.0,1800.0,1800.0
Arabica,gonzalo hernandez,Panama,1600,boquete,2017,"October 9th, 2017",Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,Bluish-Green,"October 9th, 2018",1600.0,1600.0,1600.0
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,1800-2000,oromia,2014,"April 4th, 2015",Caturra,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,Green,"April 3rd, 2016",1800.0,2000.0,1900.0
Arabica,juan luis alvarado romero,Guatemala,5000,acatenango,2012,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,Green,"July 3rd, 2013",1524.0,1524.0,1524.0
Arabica,juan luis alvarado romero,Guatemala,4650,nuevo oriente,2012,"June 5th, 2012",Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,Bluish-Green,"June 5th, 2013",1417.32,1417.32,1417.32
Arabica,seid damtew coffee planataion,Ethiopia,1100,addis ababa,2017,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,Green,"June 23rd, 2018",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,dane loraas,Peru,1100,cajamarca,2013,"January 22nd, 2014",Caturra,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,Green,"January 22nd, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,1700 mts,eastern highlands province,2012,"October 25th, 2012",Caturra,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,Bluish-Green,"October 25th, 2013",1700.0,1700.0,1700.0
Arabica,atlantic specialty coffee,El Salvador,1500 meters,apaneca,2013,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,Blue-Green,"March 18th, 2014",1500.0,1500.0,1500.0
Arabica,lusso lab,El Salvador,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",2012,"January 12th, 2013",Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,Green,"January 12th, 2014",1300.0,1400.0,1350.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,Green,"April 6th, 2013",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,essencecoffee,Panama,1680,boquete,2014,"May 23rd, 2015",Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,Green,"May 22nd, 2016",1680.0,1680.0,1680.0
Arabica,essencecoffee,Kenya,1900m,kirinyaga,2014,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,Green,"May 22nd, 2016",1900.0,1900.0,1900.0
Arabica,assefa belay coffee producer,Ethiopia,1800-2000,oromia,2015,"March 31st, 2015",Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,Green,"March 30th, 2016",1800.0,2000.0,1900.0
Arabica,kyagalanyi ltd,Uganda,1600,bulambuli eastern region,2013,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,Green,"June 26th, 2015",1600.0,1600.0,1600.0
Arabica,juan luis alvarado romero,Guatemala,5600-5760 metros,huehuetenango,2013,"February 26th, 2013",Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,Green,"February 26th, 2014",1706.88,1755.648,1731.264
Arabica,assefa belay coffee producer,Ethiopia,1800-2000,oromia,2015,"March 31st, 2015",Caturra,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,Green,"March 30th, 2016",1800.0,2000.0,1900.0
Arabica,great lakes coffee uganda,Uganda,1950,kapchorwa,2013,"June 26th, 2014",SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,Green,"June 26th, 2015",1950.0,1950.0,1950.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,Green,"April 6th, 2013",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,nucoffee,Brazil,1250m,south of minas,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,Blue-Green,"December 2nd, 2012",1250.0,1250.0,1250.0
Arabica,grounds for health admin,El Salvador,1400 m,apaneca,2009 / 2010,"May 31st, 2010",Caturra,Washed / Wet,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,Green,"May 31st, 2011",1400.0,1400.0,1400.0
Arabica,yunnan coffee exchange,China,1700,yunnan,2015,"April 6th, 2016",Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,Green,"April 6th, 2017",1700.0,1700.0,1700.0
Arabica,essencecoffee,Guatemala,1770,huehuetenango,2014,"May 23rd, 2015",Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,Green,"May 22nd, 2016",1770.0,1770.0,1770.0
Arabica,the coffee source inc.,Costa Rica,1300,west valley,2014,"May 1st, 2014",Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,Bluish-Green,"May 1st, 2015",1300.0,1300.0,1300.0
Arabica,the coffee source inc.,Costa Rica,1300 msnm,san ramon,2014,"May 1st, 2014",Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,Bluish-Green,"May 1st, 2015",1300.0,1300.0,1300.0
Arabica,rashid moledina & co. (msa) ltd.,Kenya,above 1600 m,central kenya,2012,"April 19th, 2013",SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,Green,"April 19th, 2014",1600.0,1600.0,1600.0
Arabica,ibero kenya limited,Kenya,above 1200 m,central kenya,2012,"March 12th, 2013",SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,Green,"March 12th, 2014",1200.0,1200.0,1200.0
Arabica,ethiopia commodity exchange,Ethiopia,1100,yirgacheffe,2009/2010,"June 17th, 2010",Caturra,Washed / Wet,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,Green,"June 17th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ethiopia commodity exchange,Ethiopia,1100,yirgacheffe,2009/2010,"June 17th, 2010",Typica,Washed / Wet,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,Green,"June 17th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,juan luis alvarado romero,Guatemala,1100,oriente,2016,"April 27th, 2016",Bourbon,Washed / Wet,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,Green,"April 27th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,exportadora de cafe condor s.a,Colombia,1550 msnm,santander,2015,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,Green,"April 7th, 2016",1550.0,1550.0,1550.0
Arabica,compaÃ±ia colombiana agroindustrial s.a,Colombia,1550,santander,2014,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,Green,"January 17th, 2015",1550.0,1550.0,1550.0
Arabica,"nomura trading co., ltd.",Indonesia,1250-1400 meter,lintong,2012,"November 26th, 2012",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,Green,"November 26th, 2013",1250.0,1400.0,1325.0
Arabica,the coffee source inc.,Guatemala,1400 msm,huehuetenango,2012,"January 18th, 2012",Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,Green,"January 17th, 2013",1400.0,1400.0,1400.0
Arabica,seid damtew coffee planataion,Ethiopia,1100,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,"August 9th, 2016",Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,Green,"August 9th, 2017",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,carcafe ltda ci,Colombia,2.560 msnm,pasto,2015,"August 18th, 2015",Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,Green,"August 17th, 2016",2560.0,2560.0,2560.0
Arabica,steven kil,Ethiopia,1700,aricha,2014,"October 7th, 2014",Caturra,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,Green,"October 7th, 2015",1700.0,1700.0,1700.0
Arabica,eileen koyanagi,United States (Hawaii),1100,kona,2014,"March 10th, 2014",Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,Bluish-Green,"March 10th, 2015",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,carcafe ltda ci,Colombia,2136 msnm,cundinamarca,2012,"March 16th, 2012",Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,Green,"March 16th, 2013",2136.0,2136.0,2136.0
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2010-2011,"December 27th, 2010",Caturra,Washed / Wet,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,Green,"December 27th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ethiopia commodity exchange,Ethiopia,1100,sidamo,2010,"June 17th, 2010",Caturra,Washed / Wet,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,Green,"June 17th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kona pacific farmers cooperative,United States (Hawaii),1100,kona,2012,"May 17th, 2010",Caturra,Washed / Wet,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.0,Green,"May 17th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,kyagalanyi coffee ltd,Uganda,1800,eastern uganda,2016,"July 24th, 2017",SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,Green,"July 24th, 2018",1800.0,1800.0,1800.0
Arabica,racafe & cia s.c.a,Colombia,1100,huila,2016,"February 15th, 2017",Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,Green,"February 15th, 2018",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,troy quimby,Costa Rica,1900,tarrazu,2016,"January 30th, 2017",Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,Green,"January 30th, 2018",1900.0,1900.0,1900.0
